wavelength_nm,led_mw_per_nm,dichroic_t,ir_cut_t,qe_r,qe_g,qe_b
392.5297100,0.05311651606,0.9525582724,0.7928777449,0.1051872683,0.09492767390,0.2442609410
392.7467600,0.05581435742,0.9523925981,0.7950894844,0.1049116148,0.09494720840,0.2458019960
392.9638300,0.04692474899,0.9522269086,0.7973014277,0.1046359359,0.09496674470,0.2473431930
393.1809100,0.05134743975,0.9515182462,0.7995134729,0.1043602443,0.09498628190,0.2488844610
393.3980000,0.04869382529,0.9507009892,0.8017256200,0.1040845400,0.09500582000,0.2504258000
393.6151100,0.04515567268,0.9498836569,0.8039379709,0.1038088103,0.09502535990,0.2519672810
393.8322400,0.04338659638,0.9490662493,0.8061505256,0.1035330552,0.09504490160,0.2535089040
394.0493800,0.05046290160,0.9482185835,0.8083631822,0.1032572874,0.09506444420,0.2550505980
394.2665300,0.04692474899,0.9472682048,0.8105759407,0.1029815069,0.09508398770,0.2565923630
394.4837100,0.04869382529,0.9463176948,0.8127890049,0.1027056883,0.09510353390,0.2581343410
394.7008900,0.03631029116,0.9453671848,0.8150020691,0.1024298697,0.09512308010,0.2596763190
394.9180900,0.05492981927,0.9444165873,0.8172153371,0.1021540257,0.09514262810,0.2612184390
395.1353100,0.03984844377,0.9434893650,0.8194288089,0.1018781563,0.09516217790,0.2627607010
395.3525400,0.04515567268,0.9425763039,0.8216423826,0.1016022742,0.09518172860,0.2643030340
395.5697900,0.04780928714,0.9416631587,0.8238561601,0.1013263667,0.09520128110,0.2658455090
395.7870500,0.06023704818,0.9407499714,0.8260700395,0.1010504465,0.09522083450,0.2673880550
396.0043300,0.04338659638,0.9398424054,0.8282841227,0.1007745009,0.09524038970,0.2689307430
396.2216200,0.04515567268,0.9392153933,0.8304983078,0.1004985426,0.09525994580,0.2704735020
396.4389200,0.03719482931,0.9385883524,0.8327125948,0.1002225716,0.09527950280,0.2720163320
396.6562500,0.04515567268,0.9379612250,0.8349271875,0.09994656250,0.09529906250,0.2735593750
396.8735800,0.05492981927,0.9373340976,0.8371417802,0.09967055340,0.09531862220,0.2751024180
397.0909400,0.04515567268,0.9369666809,0.8393566786,0.09939450620,0.09533818460,0.2766456740
397.3083000,0.04780928714,0.9369604210,0.8415715770,0.09911845900,0.09535774700,0.2781889300
397.5256800,0.05046290160,0.9369541604,0.8437866792,0.09884238640,0.09537731120,0.2797323280
397.7430800,0.05311651606,0.9369478993,0.8460019852,0.09856628840,0.09539687720,0.2812758680
397.9604900,0.05400105421,0.9369416379,0.8482173931,0.09829017770,0.09541644410,0.2828194790
398.1779200,0.04604021084,0.9374478033,0.8504330048,0.09801404160,0.09543601280,0.2843632320
398.3953600,0.05311651606,0.9380677900,0.8526487184,0.09773789280,0.09545558240,0.2859070560
398.6128200,0.04692474899,0.9386878337,0.8548646358,0.09746171860,0.09547515380,0.2874510220
398.8302900,0.05134743975,0.9393079059,0.8570806551,0.09718553170,0.09549472610,0.2889950590
399.0477800,0.05311651606,0.9399787345,0.8592968782,0.09690931940,0.09551430020,0.2905392380
399.2652800,0.05581435742,0.9408296815,0.8615132032,0.09663309440,0.09553387520,0.2920834880
399.4828000,0.03984844377,0.9416807067,0.8637297320,0.09635684400,0.09555345200,0.2936278800
399.7003300,0.05669889557,0.9425317711,0.8659463627,0.09608058090,0.09557302970,0.2951723430
399.9178800,0.04957836345,0.9433829137,0.8681631972,0.09580429240,0.09559260920,0.2967169480
400.1354400,0.06908242971,0.9442892873,0.8695376968,0.09546162560,0.09562167040,0.2983225720
400.3530200,0.05758343373,0.9452292111,0.8704014894,0.09507868480,0.09565648320,0.2999653010
400.5706100,0.05669889557,0.9461691781,0.8712653217,0.09469572640,0.09569129760,0.3016081055
400.7882200,0.05400105421,0.9471092316,0.8721292334,0.09431273280,0.09572611520,0.3032510610
401.0058400,0.07350512047,0.9480476907,0.8729931848,0.09392972160,0.09576093440,0.3048940920
401.2234800,0.04427113453,0.9489268475,0.8738572156,0.09354667520,0.09579575680,0.3065372740
401.4411300,0.06819789155,0.9498060446,0.8747212861,0.09316361120,0.09583058080,0.3081805315
401.6588000,0.05581435742,0.9506853226,0.8755854360,0.09278051200,0.09586540800,0.3098239400
401.8764800,0.06819789155,0.9515646410,0.8764496256,0.09239739520,0.09590023680,0.3114674240
402.0941800,0.05400105421,0.9522676504,0.8773138946,0.09201424320,0.09593506880,0.3131110590
402.3118900,0.07969688754,0.9527393409,0.8781782033,0.09163107360,0.09596990240,0.3147547695
402.5296200,0.05846797188,0.9532110747,0.8790425914,0.09124786880,0.09600473920,0.3163986310
402.7473600,0.07704327308,0.9536828302,0.8799070192,0.09086464640,0.09603957760,0.3180425680
402.9651200,0.06819789155,0.9541546290,0.8807715264,0.09048138880,0.09607441920,0.3196866560
403.1828900,0.07881234938,0.9547100302,0.8816360733,0.09009811360,0.09610926240,0.3213308195
403.4006700,0.06023704818,0.9552813978,0.8825006599,0.08971482080,0.09614410720,0.3229750585
403.6184800,0.09212464858,0.9558528441,0.8833653656,0.08933147520,0.09617895680,0.3246195240
403.8362900,0.06023704818,0.9564242904,0.8842300713,0.08894812960,0.09621380640,0.3262639895
404.0541200,0.07704327308,0.9569657093,0.8850948564,0.08856474880,0.09624865920,0.3279086060
404.2719700,0.06377520079,0.9574161796,0.8859597209,0.08818133280,0.09628351520,0.3295533735
404.4898300,0.08146596384,0.9578666705,0.8868246251,0.08779789920,0.09631837280,0.3311982165
404.7077100,0.07350512047,0.9583172027,0.8876896087,0.08741443040,0.09635323360,0.3328432105
404.9256000,0.08588865460,0.9587677557,0.8885546320,0.08703094400,0.09638809600,0.3344882800
405.1435100,0.07350512047,0.9592278790,0.8894197347,0.08664742240,0.09642296160,0.3361335005
405.3614300,0.08765773091,0.9596929639,0.8902848771,0.08626388320,0.09645782880,0.3377787965
405.5793600,0.07527419677,0.9601580701,0.8911500592,0.08588032640,0.09649269760,0.3394241680
405.7973100,0.08765773091,0.9606232190,0.8920153207,0.08549673440,0.09652756960,0.3410696905
406.0152800,0.07704327308,0.9610658542,0.8928806616,0.08511310720,0.09656244480,0.3427153640
406.2332600,0.08588865460,0.9612092851,0.8937460422,0.08472946240,0.09659732160,0.3443611130
406.4512600,0.08058142569,0.9613527291,0.8946115022,0.08434578240,0.09663220160,0.3460070130
406.6692700,0.09654733934,0.9614961797,0.8954770019,0.08396208480,0.09666708320,0.3476529885
406.8872900,0.09031134537,0.9616396368,0.8963425413,0.08357836960,0.09670196640,0.3492990395
407.1053300,0.1009700301,0.9616070691,0.8972081601,0.08319461920,0.09673685280,0.3509452415
407.3233900,0.08500411645,0.9613861089,0.8980738583,0.08281083360,0.09677174240,0.3525915945
407.5414600,0.09119588352,0.9611651386,0.8989395962,0.08242703040,0.09680663360,0.3542380230
407.7595400,0.1045081827,0.9609441581,0.8998053738,0.08204320960,0.09684152640,0.3558845270
407.9776400,0.1062772590,0.9607231574,0.9006712308,0.08165935360,0.09687642240,0.3575311820
408.1957600,0.08942680721,0.9601868258,0.9015371672,0.08127546240,0.09691132160,0.3591779880
408.4138900,0.1045081827,0.9596144526,0.9024031433,0.08089155360,0.09694622240,0.3608248695
408.6320300,0.1186607932,0.9590420533,0.9032691591,0.08050762720,0.09698112480,0.3624718265
408.8501900,0.1160071787,0.9584696014,0.9041352543,0.08012366560,0.09701603040,0.3641189345
409.0683600,0.1186607932,0.9578262614,0.9050013892,0.07973968640,0.09705093760,0.3657661180
409.2865500,0.1133535642,0.9570275551,0.9058676035,0.07935567200,0.09708584800,0.3674134525
409.5047600,0.1310885542,0.9562287755,0.9067338972,0.07897162240,0.09712076160,0.3690609380
409.7229700,0.1098154116,0.9554299960,0.9076001909,0.07858757280,0.09715567520,0.3707084235
409.9412100,0.1302040160,0.9546311067,0.9084666037,0.07820347040,0.09719059360,0.3723561355
410.1594600,0.1239680221,0.9539609128,0.9089870280,0.07784486400,0.09727973000,0.3736148406
410.3777200,0.1355112450,0.9533381515,0.9093798960,0.07749564800,0.09738886000,0.3747301492
410.5960000,0.1363957831,0.9527153332,0.9097728000,0.07714640000,0.09749800000,0.3758455600
410.8142900,0.1452411646,0.9520924863,0.9101657220,0.07679713600,0.09760714500,0.3769610219
411.0326000,0.1434720883,0.9515313431,0.9105586800,0.07644784000,0.09771630000,0.3780765860
411.2509200,0.1567401606,0.9513220179,0.9109516560,0.07609852800,0.09782546000,0.3791922012
411.4692500,0.1478947791,0.9511126831,0.9113446500,0.07574920000,0.09793462500,0.3803078675
411.6876100,0.1576246988,0.9509033195,0.9117376980,0.07539982400,0.09804380500,0.3814236871
411.9059700,0.1549710843,0.9506939560,0.9121307460,0.07505044800,0.09815298500,0.3825395067
412.1243500,0.1691679217,0.9507755398,0.9125238300,0.07470104000,0.09826217500,0.3836554285
412.3427500,0.1673988454,0.9510771720,0.9129169500,0.07435160000,0.09837137500,0.3847714525
412.5611600,0.1806669176,0.9513788181,0.9133100880,0.07400214400,0.09848058000,0.3858875276
412.7795900,0.1744751506,0.9516804917,0.9137032620,0.07365265600,0.09858979500,0.3870037049
412.9980300,0.1895122992,0.9519821792,0.9140964540,0.07330315200,0.09869901500,0.3881199333
413.2164800,0.1912813755,0.9525905461,0.9144896640,0.07295363200,0.09880824000,0.3892362128
413.4349500,0.2072472891,0.9532017596,0.9148829100,0.07260408000,0.09891747500,0.3903525945
413.6534400,0.2063627510,0.9538130291,0.9152761920,0.07225449600,0.09902672000,0.3914690784
413.8719300,0.2249380522,0.9544242986,0.9156694740,0.07190491200,0.09913596500,0.3925855623
414.0904500,0.2337834337,0.9551554892,0.9160628100,0.07155528000,0.09924522500,0.3937021995
414.3089800,0.2435575803,0.9560564009,0.9164561640,0.07120563200,0.09935449000,0.3948188878
414.5275200,0.2408597389,0.9569573540,0.9168495360,0.07085596800,0.09946376000,0.3959356272
414.7460800,0.2594792670,0.9578583894,0.9172429440,0.07050627200,0.09957304000,0.3970524688
414.9646500,0.2630174196,0.9587594661,0.9176363700,0.07015656000,0.09968232500,0.3981693615
415.1832400,0.2816369477,0.9594407739,0.9180298320,0.06980681600,0.09979162000,0.3992863564
415.4018400,0.2860596385,0.9600796980,0.9184233120,0.06945705600,0.09990092000,0.4004034024
415.6204600,0.2949050200,0.9607186805,0.9188168280,0.06910726400,0.1000102300,0.4015205506
415.8390900,0.2993277108,0.9613576923,0.9192103620,0.06875745600,0.1001195450,0.4026377499
416.0577400,0.3143648594,0.9618628576,0.9196039320,0.06840761600,0.1002288700,0.4037550514
416.2764000,0.3241390060,0.9619948627,0.9199975200,0.06805776000,0.1003382000,0.4048724040
416.4950800,0.3382916164,0.9621268798,0.9203911440,0.06770787200,0.1004475400,0.4059898588
416.7137700,0.3489060742,0.9622589029,0.9207847860,0.06735796800,0.1005568850,0.4071073647
416.9324700,0.3799091365,0.9623909321,0.9211784460,0.06700804800,0.1006662350,0.4082249217
417.1511900,0.3843318272,0.9622649677,0.9215721420,0.06665809600,0.1007755950,0.4093425809
417.3699300,0.4100276606,0.9620237412,0.9219658740,0.06630811200,0.1008849650,0.4104603423
417.5886800,0.4100276606,0.9617825037,0.9223596240,0.06595811200,0.1009943400,0.4115781548
417.8074400,0.4268781124,0.9615412552,0.9227533920,0.06560809600,0.1011037200,0.4126960184
418.0262200,0.4383771084,0.9612837964,0.9231471960,0.06525804800,0.1012131100,0.4138139842
418.2450100,0.4525297188,0.9609074338,0.9235410180,0.06490798400,0.1013225050,0.4149320011
418.4638200,0.4631884035,0.9605310368,0.9239348760,0.06455788800,0.1014319100,0.4160501202
418.6826400,0.4932627007,0.9601546227,0.9243287520,0.06420777600,0.1015413200,0.4171682904
418.9014800,0.4976853915,0.9597781741,0.9247226640,0.06385763200,0.1016507400,0.4182865628
419.1203300,0.5180739959,0.9593220138,0.9251165940,0.06350747200,0.1017601650,0.4194048863
419.3392000,0.5304575300,0.9588005560,0.9255105600,0.06315728000,0.1018696000,0.4205233120
419.5580800,0.5543842871,0.9582790744,0.9259045440,0.06280707200,0.1019790400,0.4216417888
419.7769800,0.5703059738,0.9577575452,0.9262985640,0.06245683200,0.1020884900,0.4227603678
419.9958900,0.5818491967,0.9572359921,0.9266926020,0.06210657600,0.1021979450,0.4238789979
420.2148100,0.5880409638,0.9567236090,0.9268911809,0.06191311530,0.1023933290,0.4249053108
420.4337500,0.6155058734,0.9562113551,0.9270860375,0.06172263750,0.1025903750,0.4259299500
420.6527100,0.6252357931,0.9556990544,0.9272809119,0.06153214230,0.1027874390,0.4269546828
420.8716700,0.6393884035,0.9551867537,0.9274757863,0.06134164710,0.1029845030,0.4279794156
421.0906600,0.6385038654,0.9548169638,0.9276706874,0.06115112580,0.1031815940,0.4290042888
421.3096600,0.6703914657,0.9546489908,0.9278655974,0.06096059580,0.1033786940,0.4300292088
421.5286700,0.6925491465,0.9544810101,0.9280605163,0.06077005710,0.1035758030,0.4310541756
421.7477000,0.7208543673,0.9543130141,0.9282554530,0.06057950100,0.1037729300,0.4320792360
421.9667400,0.7341666665,0.9541450104,0.9284503986,0.06038893620,0.1039700660,0.4331043432
422.1858000,0.7562801204,0.9542790279,0.9286453620,0.06019835400,0.1041672200,0.4341295440
422.4048700,0.7740151103,0.9544671214,0.9288403343,0.06000776310,0.1043643830,0.4351547916
422.6239500,0.7988264055,0.9546552235,0.9290353155,0.05981716350,0.1045615550,0.4361800860
422.8430500,0.8129790159,0.9548433427,0.9292303145,0.05962654650,0.1047587450,0.4372054740
423.0621700,0.8457511545,0.9551001148,0.9294253313,0.05943591210,0.1049559530,0.4382309556
423.2813000,0.8678646083,0.9555301794,0.9296203570,0.05924526900,0.1051531700,0.4392564840
423.5004400,0.8970985942,0.9559602635,0.9298153916,0.05905461720,0.1053503960,0.4402820592
423.7196000,0.9219098894,0.9563903870,0.9300104440,0.05886394800,0.1055476400,0.4413077280
